Country,Region,Happiness Rank,Happiness Score,Standard Error,Economy (GDP per Capita),Family,Health (Life Expectancy),Freedom,Trust (Government Corruption),Generosity,Country,Happiness.Rank_17,Happiness.Score_17,Family_17,Health..Life.Expectancy._17,Freedom_17,Economy..GDP.per.Capita._17
Afghanistan,Southern Asia,153,3.575,0.03084,0.31982,0.30285,0.30335,0.23414,0.09719,0.3651,Afghanistan,141,3.79399991,0.581543326,0.180746779,0.10617952,0.401477218
Albania,Central and Eastern Europe,95,4.959,0.05013,0.87867,0.80434,0.81325,0.35733,0.06413,0.14272,Albania,109,4.644000053,0.803685248,0.731159747,0.381498635,0.996192753
Algeria,Middle East and Northern Africa,68,5.605,0.05099,0.93929,1.07772,0.61766,0.28579,0.17383,0.07822,Algeria,53,5.872000217,1.146217465,0.617584646,0.233335808,1.091864467
Angola,Sub-Saharan Africa,137,4.033,0.04758,0.75778,0.8604,0.16683,0.10384,0.07122,0.12344,Angola,140,3.795000076,1.10441196,0.049868666,0,0.85842818
Argentina,Latin America and Caribbean,30,6.574,0.04612,1.05351,1.24823,0.78723,0.44974,0.08484,0.11451,Argentina,24,6.598999977,1.440451145,0.695137084,0.494519204,1.185295463
Armenia,Central and Eastern Europe,127,4.35,0.04763,0.76821,0.77711,0.7299,0.19847,0.039,0.07855,Armenia,121,4.375999928,1.007483721,0.637524426,0.198303267,0.900596738
Australia,Australia and New Zealand,10,7.284,0.04083,1.33358,1.30923,0.93156,0.65124,0.35637,0.43562,Australia,10,7.28399992,1.510041952,0.843886793,0.601607382,1.484414935
Austria,Western Europe,13,7.2,0.03751,1.33723,1.29704,0.89042,0.62433,0.18676,0.33088,Austria,13,7.006000042,1.459944963,0.815328419,0.56776619,1.487097263
Azerbaijan,Central and Eastern Europe,80,5.212,0.03363,1.02389,0.93793,0.64045,0.3703,0.16065,0.07799,Azerbaijan,85,5.234000206,1.152400255,0.540775776,0.398155838,1.153601766
Bahrain,Middle East and Northern Africa,49,5.96,0.05412,1.32376,1.21624,0.74716,0.45492,0.306,0.17362,Bahrain,41,6.086999893,1.323110461,0.653133035,0.536746919,1.488412261
Bangladesh,Southern Asia,109,4.694,0.03077,0.39753,0.43106,0.60164,0.4082,0.12569,0.21222,Bangladesh,110,4.607999802,0.735131741,0.533241034,0.478356659,0.586682975
Belarus,Central and Eastern Europe,59,5.813,0.03938,1.03192,1.23289,0.73608,0.37938,0.1909,0.11046,Belarus,67,5.568999767,1.444945216,0.637714267,0.295400262,1.15655756
Belgium,Western Europe,19,6.937,0.03595,1.30782,1.28566,0.89667,0.5845,0.2254,0.2225,Belgium,17,6.890999794,1.462312698,0.818091869,0.539770722,1.463780761
Benin,Sub-Saharan Africa,155,3.34,0.03656,0.28665,0.35386,0.3191,0.4845,0.0801,0.1826,Benin,143,3.657000065,0.435299844,0.209930211,0.425962776,0.431085408
Bhutan,Southern Asia,79,5.253,0.03225,0.77042,1.10395,0.57407,0.53206,0.15445,0.47998,Bhutan,97,5.011000156,1.340126514,0.495879292,0.501537681,0.885416389
Bolivia,Latin America and Caribbean,51,5.89,0.05642,0.68133,0.97841,0.5392,0.57414,0.088,0.20536,Bolivia,58,5.822999954,1.227619052,0.47363025,0.558732927,0.833756566
Bosnia and Herzegovina,Central and Eastern Europe,96,4.949,0.06913,0.83223,0.91916,0.79081,0.09245,0.00227,0.24808,Bosnia and Herzegovina,90,5.18200016,1.069335938,0.705186307,0.204403177,0.982409418
Botswana,Sub-Saharan Africa,128,4.332,0.04934,0.99355,1.10464,0.04776,0.49495,0.12474,0.10461,Botswana,142,3.766000032,1.221554995,0.341755509,0.505196333,1.122094154
Brazil,Latin America and Caribbean,16,6.983,0.04076,0.98124,1.23287,0.69702,0.49049,0.17521,0.14574,Brazil,22,6.635000229,1.431306005,0.616552353,0.437453747,1.10735321
Bulgaria,Central and Eastern Europe,134,4.218,0.04828,1.01216,1.10614,0.76649,0.30587,0.00872,0.11921,Bulgaria,105,4.714000225,1.434379458,0.70821768,0.289231718,1.161459088
Burkina Faso,Sub-Saharan Africa,152,3.587,0.04324,0.25812,0.85188,0.27125,0.39493,0.12832,0.21747,Burkina Faso,134,4.032000065,1.043280005,0.215844259,0.324367851,0.350227714
Burundi,Sub-Saharan Africa,157,2.905,0.08658,0.0153,0.41587,0.22396,0.1185,0.10062,0.19727,Burundi,154,2.904999971,0.629793584,0.151610792,0.059900753,0.091622569
Cambodia,Southeastern Asia,145,3.819,0.05069,0.46038,0.62736,0.61114,0.66246,0.07247,0.40359,Cambodia,129,4.168000221,1.006238341,0.429783404,0.633375823,0.601765096
Cameroon,Sub-Saharan Africa,133,4.252,0.04678,0.4225,0.88767,0.23402,0.49309,0.05786,0.20618,Cameroon,107,4.695000172,0.946018219,0.132892117,0.430388749,0.564305365
Canada,North America,5,7.427,0.03553,1.32629,1.32261,0.90563,0.63297,0.32957,0.45811,Canada,7,7.315999985,1.481348991,0.834557652,0.611100912,1.479204416
Central African Republic,Sub-Saharan Africa,148,3.678,0.06112,0.0785,0,0.06699,0.48879,0.08289,0.23835,Central African Republic,155,2.693000078,0,0.018772686,0.270842046,0
Chad,Sub-Saharan Africa,149,3.667,0.0383,0.34193,0.76062,0.1501,0.23501,0.05269,0.18386,Chad,137,3.936000109,0.953855872,0.041134715,0.162342027,0.438012987
