Country,Happiness Rank 2015,Happiness Score 2015,Happiness.Rank 2017,Happiness.Score 2017,delta.rank,delta.score
Switzerland,1,7.587,4,7.493999958,-3,0.093000042
Iceland,2,7.561,3,7.504000187,-1,0.056999813
Denmark,3,7.527,2,7.521999836,1,0.005000164
Norway,4,7.522,1,7.537000179,3,-0.015000179
Canada,5,7.427,7,7.315999985,-2,0.111000015
Finland,6,7.406,5,7.468999863,1,-0.062999863
Netherlands,7,7.378,6,7.376999855,1,0.001000145
Sweden,8,7.364,9,7.28399992,-1,0.08000008
New Zealand,9,7.286,8,7.31400013,1,-0.02800013
Australia,10,7.284,10,7.28399992,0,8.01086E-08
Israel,11,7.278,11,7.212999821,0,0.065000179
Costa Rica,12,7.226,12,7.078999996,0,0.147000004
Austria,13,7.2,13,7.006000042,0,0.193999958
Mexico,14,7.187,25,6.578000069,-11,0.608999931
United States,15,7.119,14,6.993000031,1,0.125999969
Brazil,16,6.983,22,6.635000229,-6,0.347999771
Luxembourg,17,6.946,18,6.862999916,-1,0.083000084
Ireland,18,6.94,15,6.977000237,3,-0.037000237
Belgium,19,6.937,17,6.890999794,2,0.046000206
United Arab Emirates,20,6.901,21,6.647999763,-1,0.253000237
United Kingdom,21,6.867,19,6.714000225,2,0.152999775
Venezuela,23,6.81,82,5.25,-59,1.56
Singapore,24,6.798,26,6.572000027,-2,0.225999973
Panama,25,6.786,30,6.452000141,-5,0.333999859
Germany,26,6.75,16,6.951000214,10,-0.201000214
Chile,27,6.67,20,6.65199995,7,0.01800005
Qatar,28,6.611,35,6.375,-7,0.236
France,29,6.575,31,6.441999912,-2,0.133000088
Argentina,30,6.574,24,6.598999977,6,-0.024999977
Czech Republic,31,6.505,23,6.609000206,8,-0.104000206
Uruguay,32,6.485,28,6.453999996,4,0.031000004
Colombia,33,6.477,36,6.356999874,-3,0.120000126
Thailand,34,6.455,32,6.423999786,2,0.031000214
Saudi Arabia,35,6.411,37,6.343999863,-2,0.067000137
Spain,36,6.329,34,6.402999878,2,-0.073999878
Malta,37,6.302,27,6.52699995,10,-0.22499995
Taiwan,38,6.298,33,6.421999931,5,-0.123999931
Kuwait,39,6.295,39,6.105000019,0,0.189999981
Trinidad and Tobago,41,6.168,38,6.168000221,3,-2.21252E-07
El Salvador,42,6.13,45,6.002999783,-3,0.127000217
Guatemala,43,6.123,29,6.453999996,14,-0.330999996
Uzbekistan,44,6.003,47,5.971000195,-3,0.031999805
Slovakia,45,5.995,40,6.09800005,5,-0.10300005
Japan,46,5.987,51,5.920000076,-5,0.066999924
South Korea,47,5.984,55,5.837999821,-8,0.146000179
Ecuador,48,5.975,44,6.007999897,4,-0.032999897
Bahrain,49,5.96,41,6.086999893,8,-0.126999893
Italy,50,5.948,48,5.964000225,2,-0.016000225
Bolivia,51,5.89,58,5.822999954,-7,0.067000046
Moldova,52,5.889,56,5.837999821,-4,0.051000179
Paraguay,53,5.878,70,5.493000031,-17,0.384999969
Kazakhstan,54,5.855,60,5.818999767,-6,0.036000233
Slovenia,55,5.848,62,5.757999897,-7,0.090000103
Lithuania,56,5.833,52,5.90199995,4,-0.06899995
Nicaragua,57,5.828,43,6.071000099,14,-0.243000099
Peru,58,5.824,63,5.715000153,-5,0.108999847
Belarus,59,5.813,67,5.568999767,-8,0.244000233
Poland,60,5.791,46,5.97300005,14,-0.18200005
Malaysia,61,5.77,42,6.084000111,19,-0.314000111
Croatia,62,5.759,77,5.293000221,-15,0.465999779
Libya,63,5.754,68,5.525000095,-5,0.228999905
Russia,64,5.716,49,5.962999821,15,-0.246999821
Jamaica,65,5.709,76,5.31099987,-11,0.39800013
North Cyprus,66,5.695,61,5.809999943,5,-0.114999943
Cyprus,67,5.689,65,5.620999813,2,0.068000187
Algeria,68,5.605,53,5.872000217,15,-0.267000217
Kosovo,69,5.589,78,5.278999805,-9,0.310000195
Turkmenistan,70,5.548,59,5.822000027,11,-0.274000027
Mauritius,71,5.477,64,5.629000187,7,-0.152000187
Hong Kong,72,5.474,71,5.472000122,1,0.001999878
Estonia,73,5.429,66,5.611000061,7,-0.182000061
Indonesia,74,5.399,81,5.262000084,-7,0.136999916
Vietnam,75,5.36,94,5.073999882,-19,0.286000118
Turkey,76,5.332,69,5.5,7,-0.168
Kyrgyzstan,77,5.286,98,5.004000187,-21,0.281999813
Nigeria,78,5.268,95,5.073999882,-17,0.194000118
Bhutan,79,5.253,97,5.011000156,-18,0.241999844
Azerbaijan,80,5.212,85,5.234000206,-5,-0.022000206
Pakistan,81,5.194,80,5.269000053,1,-0.075000053
Jordan,82,5.192,74,5.335999966,8,-0.143999966
Montenegro,82,5.192,83,5.236999989,-1,-0.044999989
China,84,5.14,79,5.272999763,5,-0.132999763
Zambia,85,5.129,116,4.513999939,-31,0.615000061
Romania,86,5.124,57,5.824999809,29,-0.700999809
Serbia,87,5.123,73,5.394999981,14,-0.271999981
Portugal,88,5.102,89,5.195000172,-1,-0.093000172
Latvia,89,5.098,54,5.849999905,35,-0.751999905
Philippines,90,5.073,72,5.429999828,18,-0.356999828
Somaliland region,91,5.057,93,5.151000023,-2,-0.094000023
Morocco,92,5.013,84,5.235000134,8,-0.222000134
Macedonia,93,5.007,92,5.175000191,1,-0.168000191
Mozambique,94,4.971,113,4.550000191,-19,0.420999809
Albania,95,4.959,109,4.644000053,-14,0.314999947
Bosnia and Herzegovina,96,4.949,90,5.18200016,6,-0.23300016
Lesotho,97,4.898,139,3.808000088,-42,1.089999912
Dominican Republic,98,4.885,86,5.230000019,12,-0.345000019
Mongolia,100,4.874,100,4.954999924,0,-0.080999924
Greece,102,4.857,87,5.227000237,15,-0.370000237
Lebanon,103,4.839,88,5.224999905,15,-0.385999905
Hungary,104,4.8,75,5.323999882,29,-0.523999882
Honduras,105,4.788,91,5.181000233,14,-0.393000233
Tajikistan,106,4.786,96,5.040999889,10,-0.254999889
Tunisia,107,4.739,102,4.804999828,5,-0.065999828
Palestinian Territories,108,4.715,103,4.775000095,5,-0.060000095
Bangladesh,109,4.694,110,4.607999802,-1,0.086000198
Iran,110,4.686,108,4.691999912,2,-0.005999912
Ukraine,111,4.681,132,4.096000195,-21,0.584999805
Iraq,112,4.677,117,4.497000217,-5,0.179999783
